,dsstox_substance_id,med,mad,ntst,nhit,burstpct,used_in_global_mad_calc,global_mad,cyto_pt,cyto_pt_um,lower_bnd_um
0,DTXSID00190950,,,1.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1,DTXSID00192353,,,1.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
2,DTXSID00194615,,,1.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
3,DTXSID0020020,,,67.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
4,DTXSID0020022,1.8830989702850829,0.06747940393252644,67.0,3.0,0.04477611940298507,False,0.1765603253086648,3.0,1000.0,295.33779226105804
5,DTXSID0020024,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
6,DTXSID0020070,,,67.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
7,DTXSID0020072,,,68.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
8,DTXSID0020074,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
9,DTXSID0020076,,,73.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
10,DTXSID0020101,1.652343622551746,0.14124198332567306,69.0,11.0,0.15942028985507245,True,0.1765603253086648,1.652343622551746,44.910058683566355,13.263637581919038
11,DTXSID0020103,1.4345554852349665,0.0,14.0,1.0,0.07142857142857142,True,0.1765603253086648,1.4345554852349665,27.199159589367017,8.032939744479837
12,DTXSID0020105,,,72.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
13,DTXSID0020107,,,69.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
14,DTXSID0020151,-2.409821650020876,2.411862227923466,64.0,2.0,0.03125,False,0.1765603253086648,3.0,1000.0,295.33779226105804
15,DTXSID0020153,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
16,DTXSID0020155,1.6741472553834102,0.2590837369321874,70.0,23.0,0.32857142857142857,True,0.1765603253086648,1.6741472553834102,47.222312989773776,13.946533663860464
17,DTXSID0020157,,,69.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
18,DTXSID0020232,1.6266414718411544,0.13381291275074855,73.0,21.0,0.2876712328767123,True,0.1765603253086648,1.6266414718411544,42.32933754807037,12.501453099320207
19,DTXSID0020236,1.396262216922297,0.038219814605283495,71.0,3.0,0.04225352112676056,False,0.1765603253086648,3.0,1000.0,295.33779226105804
20,DTXSID0020238,,,66.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
21,DTXSID0020280,,,68.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
22,DTXSID0020282,1.5201683073095582,0.0,71.0,1.0,0.014084507042253521,False,0.1765603253086648,3.0,1000.0,295.33779226105804
